provience,population,plate,area
Adana,2263373,1,13844
Adıyaman,632148,2,7337
Afyonkarahisar,744179,3,14016
Ağrı,524644,4,11099
Amasya,335331,5,5628
Ankara,5747325,6,25632
Antalya,2619832,7,20177
Artvin,169543,8,7393
Aydın,1134031,9,8116
Balıkesir,1250610,10,14583
Bilecik,228334,11,4179
Bingöl,283112,12,8004
Bitlis,352277,13,8294
Bolu,320014,14,8313
Burdur,273716,15,7175
Bursa,3147818,16,10813
Çanakkale,557276,17,9817
Çankırı,196515,18,7542
Çorum,526282,19,12428
Denizli,1051056,20,12134
Diyarbakır,1791373,21,15168
Edirne,412115,22,6145
Elazığ,588088,23,9383
Erzincan,237351,24,11815
Erzurum,756893,25,25006
Eskişehir,898369,26,13960
Gaziantep,2130432,27,6803
Giresun,450154,28,7025
Gümüşhane,150119,29,6668
Hakkari,278218,30,7095
Hatay,1670712,31,5524
Isparta,445678,32,8946
Mersin,1891145,33,16010
İstanbul,15840900,34,5461
İzmir,4425789,35,11891
Kars,281077,36,10193
Kastamonu,375592,37,13064
Kayseri,1434357,38,16970
Kırklareli,366363,39,6459
Kırşehir,242944,40,6584
Kocaeli,2033441,41,3397
Konya,2277017,42,40838
Kütahya,578640,43,11634
Malatya,808692,44,12259
Manisa,1456626,45,13339
Kahramanmaraş,1171298,46,14520
Mardin,862757,47,8780
Muğla,1021141,48,12654
Muş,405228,49,8650
Nevşehir,308003,50,5485
Niğde,363725,51,7234
Ordu,760872,52,5861
Rize,345662,53,3835
Sakarya,1060876,54,4824
Samsun,1371274,55,9725
Siirt,331980,56,5717
Sinop,218408,57,5717
Sivas,636121,58,28164
Tekirdağ,1113400,59,6190
Tokat,602567,60,10042
Trabzon,816684,61,4628
Tunceli,83645,62,7582
Şanlıurfa,2143020,63,19242
Uşak,373183,64,5555
Van,1141015,65,20921
Yozgat,418500,66,13690
Zonguldak,589684,67,3342
Aksaray,429069,68,7659
Bayburt,85042,69,3746
Karaman,258838,70,8678
Kırıkkale,275968,71,4791
Batman,626319,72,4477
Şırnak,546589,73,7078
Bartın,201711,74,2330
Ardahan,94932,75,4934
Iğdır,203159,76,3664
Yalova,291001,77,798
Karabük,249287,78,4142
Kilis,145826,79,1412
Osmaniye,553012,80,3320
Düzce,400976,81,2492
